,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,phase,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
61,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),895.6666667,53740,,,Boo2,approach,yes_approach,pretest1b,,,,TRUE,,0.639145586,0.639145586,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,15138,#02d779,15136
62,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1010.916667,60655,,,Boo2,approach,no_approach,pretest1b,,,,TRUE,,0.721387709,0.721387709,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
63,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1174.416667,70465,1401.333333,84080,Boo2,phase,test,test,,,,FALSE,,0.838060917,0.999988107,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14092,#7981f3,14080
64,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1299.35,77961,1313.283333,78797,Boo2,latency_first_choice,non_visible,test,,,,FALSE,,0.927213045,0.937155838,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
65,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1311.316667,78679,,,Boo2,approach,yes_approach,test,,,,TRUE,,0.935752429,0.935752429,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,15138,#02d779,15136
66,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1313.283333,78797,,,Boo2,choice,unseen,test,,,,TRUE,,0.937155838,0.937155838,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
67,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1313.933333,78836,,,Boo2,food_taken,unseen,test,,,,TRUE,,0.937619676,0.937619676,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
68,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1317.016667,79021,,,Boo2,food_taken,seen,test,,,,TRUE,,0.939819936,0.939819936,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
69,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),1.516666667,91,356.4333333,21386,Skadi4,phase,exploration,exploration,,,,FALSE,,0.000966758,0.227198844,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14086,#e6f379,14080
70,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),68.05,4083,90.68333333,5441,Skadi4,latency_first_choice,non_visible,exploration,,,,FALSE,,0.043376643,0.057803652,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
71,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),90.68333333,5441,,,Skadi4,choice,unseen,exploration,,,,TRUE,,0.057803652,0.057803652,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
72,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),95.18333333,5711,,,Skadi4,food_taken,unseen,exploration,,,,TRUE,,0.060672056,0.060672056,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
73,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),277.5333333,16652,289.4166667,17365,Skadi4,latency_first_choice,visible,exploration,,,,FALSE,,0.176906161,0.184480872,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
74,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),289.4166667,17365,,,Skadi4,choice,seen,exploration,,,,TRUE,,0.184480872,0.184480872,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
75,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),316.7333333,19004,,,Skadi4,food_taken,seen,exploration,,,,TRUE,,0.201893147,0.201893147,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
76,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),356.4333333,21386,619.9333333,37196,Skadi4,phase,pretest1a,pretest1a,,,,FALSE,,0.227198844,0.395159834,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14088,#dc79f3,14080
77,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),604,36240,,,Skadi4,approach,no_approach,pretest1a,,,,TRUE,,0.385003559,0.385003559,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
78,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),619.9333333,37196,752.4833333,45149,Skadi4,phase,pretest2,pretest2,,,,FALSE,,0.395159834,0.479650267,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14089,#79f3b8,14080
79,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),661.4666667,39688,663.1666667,39790,Skadi4,latency_first_choice,visible,pretest2,,,,FALSE,,0.42163414,0.42271776,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
80,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),663.1666667,39790,,,Skadi4,choice,seen,pretest2,,,,TRUE,,0.42271776,0.42271776,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
81,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),665.2333333,39914,,,Skadi4,food_taken,seen,pretest2,,,,TRUE,,0.424035101,0.424035101,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
82,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),673.4,40404,,,Skadi4,food_taken,unseen,pretest2,,,,TRUE,,0.429240723,0.429240723,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
83,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),752.4833333,45149,835.65,50139,Skadi4,phase,pretest1b,pretest1b,,,,FALSE,,0.479650267,0.532662623,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14090,#f39579,14080
84,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),816.65,48999,,,Skadi4,approach,no_approach,pretest1b,,,,TRUE,,0.520551583,0.520551583,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
